year,quarter,industry,recruitment_rate,resignation_rate,retrenchment
2004,Q2,manufacturing,2.6,1.9,800
2004,Q2,construction,2.4,1.9,200
2004,Q2,services,3.3,2.6,1110
2004,Q2,others,3.8,2.9,10
2004,Q3,manufacturing,2.7,1.7,810
2004,Q3,construction,2.6,1.8,60
2004,Q3,services,3.2,2.5,1140
2004,Q3,others,3.2,3.4,80
2004,Q4,manufacturing,2.1,1.2,1540
2004,Q4,construction,2.0,1.7,80
2004,Q4,services,2.9,2.2,1730
2004,Q4,others,3.3,2.8,80
2005,Q1,manufacturing,2.1,1.7,1270
2005,Q1,construction,2.2,1.7,140
2005,Q1,services,2.8,2.5,870
2005,Q1,others,3.0,2.8,0
2005,Q2,manufacturing,2.2,1.8,1270
2005,Q2,construction,2.7,2.0,160
2005,Q2,services,3.2,2.5,820
2005,Q2,others,3.1,2.7,0
2005,Q3,manufacturing,2.3,1.6,2050
2005,Q3,construction,2.7,1.7,150
2005,Q3,services,3.3,2.5,1030
2005,Q3,others,3.1,2.4,0
2005,Q4,manufacturing,1.9,1.2,2500
2005,Q4,construction,2.8,1.8,90
2005,Q4,services,2.9,2.1,790
2005,Q4,others,4.0,2.9,10
2006,Q1,manufacturing,2.3,1.7,2600
2006,Q1,construction,2.9,1.9,60
2006,Q1,services,2.8,2.2,980
2006,Q1,others,1.8,1.1,40
2006,Q2,manufacturing,2.7,1.7,1960
2006,Q2,construction,2.9,1.8,390
2006,Q2,services,3.0,2.3,1080
2006,Q2,others,2.0,1.3,10
2006,Q3,manufacturing,2.6,1.6,1910
2006,Q3,construction,3.0,1.6,30
2006,Q3,services,3.3,2.4,630
2006,Q3,others,1.8,1.0,0
2006,Q4,manufacturing,2.0,1.1,2390
2006,Q4,construction,2.9,1.5,10
2006,Q4,services,2.9,2.0,980
2006,Q4,others,1.5,0.9,20
2007,Q1,manufacturing,2.1,1.5,1440
2007,Q1,construction,2.8,1.6,0
2007,Q1,services,2.9,2.2,650
2007,Q1,others,1.7,1.0,10
2007,Q2,manufacturing,2.7,1.7,1430
2007,Q2,construction,3.7,1.7,10
2007,Q2,services,3.5,2.5,590
2007,Q2,others,4.8,1.4,0
2007,Q3,manufacturing,2.5,1.6,1310
2007,Q3,construction,3.6,1.7,50
2007,Q3,services,3.5,2.4,980
2007,Q3,others,2.8,1.8,10
2007,Q4,manufacturing,2.0,1.2,1330
2007,Q4,construction,3.2,1.5,20
2007,Q4,services,2.9,2.0,770
2007,Q4,others,2.7,1.7,0
2008,Q1,manufacturing,2.0,1.7,1820
2008,Q1,construction,3.4,1.8,0
2008,Q1,services,3.1,2.3,590
2008,Q1,others,3.0,2.1,10
2008,Q2,manufacturing,2.3,1.9,1230
2008,Q2,construction,4.1,1.9,20
